Method,Path,Body,Single Quotes,Double Quotes,Dashes,Braces,Spaces,Tags,Colons,Backtick,Bad Words,XSS Check,XSS Word,Cmdi Word,Cmdi Check,Class
GET,/,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/favicon.ico,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/index.jsp?content=personal_savings.htm,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/index.jsp?content=personal_deposit.htm,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/index.jsp?content=personal_checking.htm,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/index.jsp?content=personal_loans.htm,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/index.jsp?content=personal_cards.htm,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/index.jsp?content=personal_investments.htm,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/index.jsp?content=personal_other.htm,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/index.jsp?content=business.htm,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/index.jsp?content=business_lending.htm,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/index.jsp?content=business_deposit.htm,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/index.jsp?content=business_insurance.htm,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/index.jsp?content=business_retirement.htm,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/retirement.htm,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/index.jsp?content=business_other.htm,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/index.jsp?content=inside.htm,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/index.jsp?content=inside.htm,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/login.jsp,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
POST,/doLogin,uid=admin&passw=admin&btnSubmit=Login,0,0,0,0,0,0,0,0,1,0,0,0,6,good
GET,/bank/main.jsp,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/bank/showAccount?listAccounts=800001,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/bank/showAccount?listAccounts=800000,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/admin/admin.jsp,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/status_check.jsp,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/util/serverStatusCheckService.jsp?HostName=AltoroMutual,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/index.jsp?content=inside_contact.htm,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/feedback.jsp,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
POST,/sendFeedback,cfile=comments.txt&name=Admin+User&email_addr=joe%40joe.com&subject=shit+bruh&comments=I+just+tried+crawling&submit=+Submit+,0,0,0,0,0,0,0,0,0,0,0,0,6,good
GET,/search.jsp?query=bank,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/index.jsp?content=business.htm,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
